Name,Address,City,County,State,Type Detailed,Population Count,Facility Operator,Facility Owner,Per Diem Rate Detailed,Last Inspection Standard,Last Inspection Rating - Final
LINN COUNTY JAIL,53 3RD AVENUE BRIDGE,CEDAR RAPIDS,LINN,IA,USMS IGA,4,COUNTY (SHERIFF),COUNTY,$64.7,NDS,Acceptable
LONOKE POLICE DEPARTMENT,204 W. FRONT STREET,LONOKE,LONOKE,AR,IGSA,0,CITY,CITY,$30,NDS,Acceptable
LUBBOCK COUNTY DETENTION CENTER,811 MAIN STREET,LUBBOCK,LUBBOCK,TX,USMS IGA,0,COUNTY (SHERIFF),USM,$65,NDS,Acceptable
MARION COUNTY JAIL,40 SOUTH ALABAMA STREET,INDIANAPOLIS,MARION,IN,USMS IGA,1,COUNTY (SHERIFF),COUNTY,$65,NDS,Acceptable
MARSHALL COUNTY JAIL,2369 JESSUP AVENUE,MARSHALLTOWN,MARSHALL,IA,USMS IGA,25,COUNTY (SHERIFF),COUNTY,$50,NDS,Pending
mchenry county jail,2200 NORTH SEMINARY AVENUE,WOODSTOCK,MCHENRY,IL,USMS IGA,172,COUNTY (SHERIFF),COUNTY,$95,NDS,Acceptable
MECKLENBURG COUNTY DETENTION CENTER NORTH,5234 SPECTOR DRIVE,CHARLOTTE,MECKLENBURG,NC,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$124.78,NDS,Acceptable
MECKLENBURG COUNTY JAIL CENTRAL,801 EAST FOURTH ST,CHARLOTTE,MECKLENBURG,NC,USMS IGA,0,COUNTY,COUNTY,$109.7,NDS,Acceptable
MESA VERDE DETENTION FACILITY,425 GOLDEN STATE AVE,BAKERSFIELD,KERN,CA,DIGSA,356,GEO,CITY,"320 (GM); $119.95 (1-320), $94.95 (321-400)",PBNDS 2011,Pending
MILLER COUNTY JAIL,2300 EAST STREET,TEXARKANA,MILLER,AR,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$52,NDS,Acceptable
MINICASSIA DETENTION CENTER,1415 ALBION AVENUE,BURLEY,CASSIA,ID,IGSA,3,COUNTY (SHERIFF),COUNTY,$45,NDS,Acceptable
MISSISSIPPI COUNTY DETENTION CENTER,200 WEST COMMERCIAL STREET,CHARLESTON,MISSISSIPPI,MO,IGSA,0,COUNTY (SHERIFF),COUNTY,$65.03,NDS,Acceptable
MOFFAT COUNTY JAIL,800 WEST 1ST STREET,CRAIG,MOFFAT,CO,IGSA,0,COUNTY (SHERIFF),COUNTY,$57.86,NDS,Acceptable
MONROE COUNTY DETENTION CENTER,5501 COLLEGE ROAD,KEY WEST,MONROE,FL,IGSA,47,COUNTY (SHERIFF),COUNTY,"50 (GM); $87.00 (1-50), $25.00 (51-72)",PBNDS 2008,Pending
MONROE COUNTY DETENTION-DORM,7000 EAST DUNBAR ROAD,MONROE,MONROE,MI,IGSA,37,COUNTY (SHERIFF),COUNTY,$74.96,NDS,Pending
MONTGOMERY CITY JAIL,320 NORTH RIPLEY STREET,MONTGOMERY,MONTGOMERY,AL,IGSA,0,CITY,CITY,$48,NDS,Acceptable
MONTGOMERY COUNTY CORRECTIONAL FACILITY,60 EAGLEVILLE ROAD,NORRISTOWN,MONTGOMERY,PA,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$74.5,NDS,Acceptable
MONTGOMERY COUNTY JAIL,211 EAST THIRD STREET,MONTGOMERY CITY,MONTGOMERY,MO,IGSA,11,COUNTY (SHERIFF),COUNTY,$50,NDS,Acceptable
MONTGOMERY COUNTY MAC SIM BUTLER DETENTION FACILIT,250 MCDONOUGH STREET,MONTGOMERY,MONTGOMERY,AL,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$48,NDS,Acceptable
MORGAN COUNTY ADULT DETENTION CENTER,211 EAST NEWTON STREET,VERSAILLES,MORGAN,MO,IGSA,23,COUNTY (SHERIFF),COUNTY,$65.1,NDS,Acceptable
MORROW COUNTY CORRECTIONAL FACILITY,101 HOME ROAD,MOUNT GILEAD,MORROW,OH,IGSA,23,COUNTY (SHERIFF),COUNTY,$53.64,NDS,Acceptable
NATRONA COUNTY JAIL,1100 BRUCE LANE,CASPER,NATRONA,WY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
NAVAJO COUNTY SHERIFF,100 EAST CARTER DRIVE,HOLBROOK,NAVAJO,AZ,IGSA,0,COUNTY (SHERIFF),COUNTY,$59,NDS,Acceptable
NEW HANOVER COUNTY JAIL,3950 JUVENILE RD,CASTLE HAYNE,NEW HANOVER,NC,IGSA,0,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
NOBLES COUNTY JAIL,1530 AIRPORT ROAD,WORTHINGTON,NICOLLET,MN,IGSA,2,COUNTY (SHERIFF),COUNTY,$89.69,NDS,Acceptable
NORFOLK COUNTY JAIL,200 WEST STREET,DEDHAM,NORFOLK,MA,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$95,NDS,Acceptable
NORTHERN OREGON CORRECTIONAL FACILITY,211 WEBBER ROAD,THE DALLES,WASCO,OR,IGSA,5,COUNTY (JAILER),COUNTY,$61.12,NDS,Acceptable
NORTHERN REGIONAL JAIL,RD #2,MOUNDSVILLE,MARSHALL,WV,USMS IGA,0,COUNTY (CORRECTIONS),RJA,$65,NDS,Acceptable
Northwest Detention Center,1623 E. J STREET,TACOMA,PIERCE,WA,CDF,1501,GEO,GEO,B4,PBNDS 2011,Pending
NORTHWEST STATE CORRECTIONAL CENTER,3649 LOWER NEWTON ROAD,SWANTON,FRANKLIN,VT,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$130,NDS,Acceptable
ONTARIO COUNTY JAIL,3045 COUNTY COMPLEX DRIVE,CANANDAIGUA,ONTARIO,NY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$80,NDS,Acceptable
ORANGE COUNTY CENTRAL WOMEN'S JAIL,550 NORTH FLOWER STREET,SANTA ANA,ORANGE,CA,IGSA,0,COUNTY (SHERIFF),COUNTY,$118,NDS,Acceptable
ORANGE COUNTY INTAKE RELEASE FACILITY,550 NORTH FLOWER STREET,SANTA ANA,ORANGE,CA,IGSA,1,COUNTY (SHERIFF),COUNTY,$118,NDS,Acceptable
ORANGE COUNTY JAIL,110 WELLS FARM ROAD,GOSHEN,ORANGE,NY,IGSA,166,COUNTY (CORRECTIONS),COUNTY,$133.93,NDS,Pending
ORANGE COUNTY JAIL,3855 SOUTH JOHN YOUNG PARKWAY,ORLANDO,ORANGE,FL,USMS IGA,0,COUNTY,COUNTY,$88,NDS,Acceptable
OTERO COUNTY PROCESSING CENTER,26 MCGREGOR RANGE ROAD,CHAPARRAL,DONA ANA,NM,DIGSA,944,M&TC,COUNTY,"$91.03 (1-850),  $18.72 (851-1000)",PBNDS 2011,Meets Standard
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),307 SAINT JOSEPH STREET,RAPID CITY,PENNINGTON,SD,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
PHELPS COUNTY JAIL,715 5TH AVENUE,HOLDREGE,PHELPS,NE,USMS IGA,4,COUNTY (SHERIFF),COUNTY,$55,NDS,Acceptable
PIKE COUNTY CORRECTIONAL FACILITY,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PIKE,PA,IGSA,147,COUNTY (SHERIFF),COUNTY,$82.31,PBNDS 2008,Pending
PINELLAS COUNTY JAIL,14400 49TH STREET NORTH,CLEARWATER,PINELLAS,FL,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$80,NDS,Acceptable
PLATTE COUNTY DETENTION CENTER,415 THIRD STREET,PLATTE CITY,PLATTE,MO,IGSA,1,COUNTY (SHERIFF),COUNTY,$77.9,NDS,Acceptable
PLATTE COUNTY JAIL,850 MAPLE STREET,WHEATLAND,PLATTE,WY,USMS IGA,3,COUNTY (SHERIFF),COUNTY,$63,NDS,Acceptable
PLYMOUTH COUNTY CORRECTIONAL FACILITY,26 LONG POND ROAD,PLYMOUTH,PLYMOUTH,MA,IGSA,101,COUNTY (SHERIFF),COUNTY,$93.82,NDS,Acceptable
POLK COUNTY ADULT DETENTION FACILITY,3400 FM 350 SOUTH,LIVINGSTON,POLK,TX,IGSA,362,CEC,COUNTY,$68.59,NDS,Acceptable
POLK COUNTY JAIL,1985 NE 51ST,DES MOINES,POLK,IA,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$95,NDS,Pending
POMONA CITY JAIL,490 WEST MISSION BOULEVARD,POMONA,LOS ANGELES,CA,USMS IGA,0,CITY,CITY,$75,NDS,Acceptable
PORT ISABEL SPC,27991 BUENA VISTA BOULEVARD,LOS FRESNOS,CAMERON,TX,SPC,1113,AHTNA (GUARD),ICE,"800 (GM); $125.69 (1-800), $0.00 (800-1175)",PBNDS 2011,Pending
POTTAWATTAMIE COUNTY JAIL,1400 BIG LAKE ROAD,COUNCIL BLUFFS,POTTAWATTAMIE,IA,USMS IGA,8,COUNTY (SHERIFF),COUNTY,$79.26,NDS,Acceptable
PRINCE WILLIAM COUNTY CORRECTIONAL FACILITY,9320 LEE AVENUE,MANASSAS,MANASSAS CITY,VA,USMS IGA,0,COUNTY (CORRECTIONS),COUNTY,$84.63,NDS,Acceptable
PUEBLO COUNTY JAIL,909 COURT STREET,PUEBLO,PUEBLO,CO,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$48.5,NDS,Acceptable
RAMSEY COUNTY ADULT DETENTION CENTER,425 GROVE STREET,ST. PAUL,RAMSEY,MN,USMS IGA,14,COUNTY (SHERIFF),COUNTY,$80,NDS,Pending
RANDALL COUNTY JAIL,9100 SOUTH GEORGIA STREET,AMARILLO,RANDALL,TX,USMS IGA,0,COUNTY (SHERIFF),USM,$65,NDS,Acceptable
RICE COUNTY DETENTION CENTER,1482 WEST UNITED STATES HIGHWAY 56,LYONS,RICE,KS,IGSA,0,COUNTY (SHERIFF),COUNTY,$50,NDS,Acceptable
RIO COSUMNES CORR. CENTER,12500 BRUCEVILLE ROAD,ELK GROVE,SACRAMENTO,CA,IGSA,87,COUNTY (SHERIFF),COUNTY,$100,NDS,Pending
RIO GRANDE DETENTION CENTER,1001 SAN RIO BOULEVARD,LAREDO,WEBB,TX,USMS IGA,566,GEO,GEO,B4,PBNDS 2008,Pending
ROANOKE CITY JAIL,340 CAMPBELL AVENUE SOUTHWEST,ROANOKE,ROANOKE,VA,IGSA,0,CITY,CITY,$46.57,NDS,Acceptable
ROCK ISLAND COUNTY CORRECTIONAL CENTER,1317 3RD AVENUE,ROCK ISLAND,ROCK ISLAND,IL,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$45,NDS,Acceptable
ROCKINGHAM COUNTY JAIL,25 SOUTH LIBERTY STREET,HARRISONBURG,HARRISONBURG CITY,VA,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$72,NDS,Acceptable
ROLLING PLAINS DETENTION CENTER,118 COUNTY ROAD 206,HASKELL,HASKELL,TX,IGSA,475,EMERALD,CITY,$69.1,PBNDS 2011,Meets Standard
SAINT CLAIR COUNTY JAIL,1170 MICHIGAN ROAD,PORT HURON,SAINT CLAIR,MI,IGSA,51,COUNTY (SHERIFF),COUNTY,$82,PBNDS 2008,Pending
SAINT TAMMANY PARISH JAIL,701 NORTH COLUMBIA STREET,COVINGTON,SAINT TAMMANY,LA,IGSA,0,COUNTY (SHERIFF),COUNTY,$56.69,NDS,Acceptable
SALEM COUNTY CORRECTIONAL FACILITY,125 CEMETERY ROAD,WOODSTOWN,COUNTY,NJ,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$100,NDS,Special Review - Pre-Occupancy
San Bernardino County Jail,630 EAST RIALTO AVENUE,SAN BERNARDINO,SAN BERNARDINO,CA,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$80,NDS,Acceptable
Otay Detention Facility,7488 CALZADA DE LA FUENTE,SAN DIEGO,SAN DIEGO,CA,CDF,751,CCA,OFDT,B4,PBNDS 2011,Special Review - Pre-Occupancy
SAN LUIS REGIONAL DETENTION CENTER,406 NORTH AVENUE D,SAN LUIS,YUMA,AZ,USMS IGA,29,EMERALD,CITY,$72,NDS,Pending
SANGAMON COUNTY JAIL,1 SHERIFFS PLAZA,SPRINGFIELD,SANGAMON,IL,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$53.5,NDS,Acceptable
SANTA ANA CITY JAIL,62 CIVIC CENTER PLAZA,SANTA ANA,ORANGE,CA,IGSA,219,CITY,CITY,$105,NDS,Pending
SANTA CRUZ COUNTY JAIL,1250 NORTH HOHOKAM DRIVE,NOGALES,SANTA CRUZ,AZ,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$65,NDS,Acceptable
SEBASTIAN COUNTY DETENTION CENTER,801 SOUTH A STREET,FORT SMITH,SEBASTIAN,AR,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$53,NDS,Acceptable
SENECA COUNTY JAIL,3040 SOUTH STATE HIGHWAY 100,TIFFIN,SENECA,OH,IGSA,56,COUNTY (SHERIFF),COUNTY,$58,NDS,Pending
SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,501 SOUTHEAST 8TH AVENUE,TOPEKA,SHAWNEE,KS,IGSA,1,COUNTY (CORRECTIONS),COUNTY,$67.85,NDS,Acceptable
SHERBURNE COUNTY JAIL,13880 UNITED STATES HIGHWAY 10,ELK RIVER,SHERBURNE,MN,USMS IGA,103,COUNTY (SHERIFF),COUNTY,$80,NDS,Pending
SOUTH CENTRAL REGIONAL JAIL,1001 CENTRE WAY,CHARLESTON,KANAWHA,WV,USMS IGA,8,COUNTY (CORRECTIONS),RJA,$56,NDS,Acceptable
South Louisiana Correctional Center,3843 STAGG AVENUE,BASILE,EVANGELINE,LA,IGSA,490,GEO,COUNTY,$58.02,PBNDS 2008,Pending
SOUTH TEXAS DETENTION COMPLEX,566 VETERANS DRIVE,PEARSALL,FRIO,TX,CDF,1717,GEO,GEO,B4,PBNDS 2011,Pending
STEWART DETENTION CENTER,146 CCA ROAD,LUMPKIN,STEWART,GA,DIGSA,1762,CCA,COUNTY,$62.03,PBNDS 2011,Meets Standard
STRAFFORD COUNTY CORRECTIONS,266 COUNTY FARM ROAD,DOVER,STRAFFORD,NH,IGSA,39,COUNTY (CORRECTIONS),COUNTY,$83,PBNDS 2008,Meets Standard
SUFFOLK COUNTY HOUSE OF CORRECTIONS,20 BRADSTON STREET,BOSTON,SUFFOLK,MA,IGSA,220,COUNTY (SHERIFF),COUNTY,$90,NDS,Acceptable
SWEETWATER COUNTY JAIL,50140 UNITED STATES HIGHWAY 191 SOUTH,ROCK SPRINGS,SWEETWATER,WY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$61.57,NDS,Acceptable
TELLER COUNTY JAIL,288 WEAVERVILLE ROAD,DIVIDE,TELLER,CO,IGSA,1,COUNTY (SHERIFF),COUNTY,$60,NDS,Acceptable
TENSAS PARISH DETENTION CENTER,8606 HWY 65,WATERPROOF,TENSAS,LA,IGSA,24,EMERALD,COUNTY,$46.76,NDS,Pending
THEO LACY FACILITY,501 THE CITY DRIVE SOUTH,ORANGE,ORANGE,CA,IGSA,435,COUNTY (SHERIFF),COUNTY,$118,PBNDS 2008,Pending
TOOELE COUNTY JAIL,47 SOUTH MAIN STREET,TOOELE,TOOELE,UT,USMS IGA,0,COUNTY,,$48,NDS,Acceptable
TRI-COUNTY DETENTION CENTER,1026 SHAWNEE COLLEGE ROAD,ULLIN,PULASKI,IL,IGSA,176,COUNTY,COUNTY,$76,PBNDS 2008,Meets Standard
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),300 NORTH DENVER AVENUE,TULSA,TULSA,OK,IGSA,105,COUNTY (SHERIFF),COUNTY,$54.13,NDS,Acceptable
UTAH COUNTY JAIL,3075 NORTH MAIN STREET,SPANISH FORK,UTAH,UT,IGSA,169,COUNTY (SHERIFF),COUNTY,$72.25,NDS,Pending
VAL VERDE CORRECTIONAL FACILITY,253 FARM TO MARKET 2523,DEL RIO,VAL VERDE,TX,USMS IGA,1,GEO,COUNTY,$56,NDS,Acceptable
VIRGINIA PENINSULA REGIONAL JAIL,9320 MERRIMAC TRAIL,WILLIAMSBURG,JAMES CITY,VA,USMS IGA,42,COUNTY,COUNTY,$62.37,NDS,Pending
WAKE COUNTY SHERIFF DEPARTMENT,330 SOUTH SALISBURY STREET,RALEIGH,WAKE,NC,IGSA,2,COUNTY (SHERIFF),COUNTY,$63.86,NDS,Acceptable
WAKULLA COUNTY JAIL,15 OAK STREET,CRAWFORDVILLE,WAKULLA,FL,IGSA,55,COUNTY (SHERIFF),COUNTY,$79.66,NDS,Pending
WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC,750 SOUTH 5400 WEST,HURRICANE,WASHINGTON,UT,USMS IGA,2,COUNTY (SHERIFF),COUNTY,$58,NDS,Acceptable
WASHOE COUNTY JAIL,911 PARR BOULEVARD,RENO,WASHOE,NV,USMS IGA,10,COUNTY (SHERIFF),COUNTY,$109,NDS,Pending
WAYNE COUNTY JAIL,7368 STATE ROUTE 31,LYONS,WAYNE,NY,USMS IGA,0,COUNTY (SHERIFF),COUNTY,$75,NDS,Acceptable
WEST TEXAS DETENTION FACILITY,401 S. VAQUERO AVE.,SIERRA BLANCA,HUDSPETH,TX,USMS IGA,510,EMERALD,COUNTY,$77,NDS,Pending
WESTERN TENNESSEE DETENTION FACILITY,6299 FINDE NAIFEH DRIVE,MASON,TIPTON,TN,USMS IGA,2,CCA,COUNTY,$102.83,PBNDS 2008,Pending
WHITFIELD COUNTY JAIL,805 PROFESSIONAL BLVD,DALTON,WHITFIELD,GA,IGSA,1,COUNTY (SHERIFF),COUNTY,$41.03,NDS,Acceptable
WILLACY CO  REGIONAL DETENTION FACILITY,1601 BUFFALO DRIVE,RAYMONDVILLE,WILLACY,TX,USMS IGA,0,M&TC,COUNTY,$96.09,NDS,Acceptable
WORCESTER COUNTY JAIL,5022 JOYNER ROAD,SNOW HILL,WORCESTER,MD,IGSA,178,COUNTY (SHERIFF),COUNTY,$87.11,NDS,Acceptable
YAKIMA COUNTY DEPARTMENT OF CORRECTIONS,111 NORTH FRONT STREET,YAKIMA,YAKIMA,WA,USMS IGA,10,COUNTY (CORRECTIONS),COUNTY,$84.51,NDS,Acceptable
YAVAPAI COUNTY DETENTION CENTER,3505 WEST STATE HIGHWAY 260,CAMP VERDE,YAVAPAI,AZ,IGSA,0,COUNTY (SHERIFF),COUNTY,$59.5,NDS,Acceptable
York County Prison,1675-3A YORK HWY,YORK,YORK,SC,USMS IGA,23,COUNTY (SHERIFF),COUNTY,$55,NDS,Acceptable
YORK COUNTY PRISON,3400 CONCORD ROAD,YORK,YORK,PA,IGSA,667,COUNTY (SHERIFF),COUNTY,$83,PBNDS 2008,Pending
YUBA COUNTY JAIL,215 5TH STREET,MARYSVILLE,YUBA,CA,IGSA,197,COUNTY (SHERIFF),COUNTY,$75.16,NDS,Pending
GUADALUPE COUNTY JAIL,2615 N Guadalupe St,Seguin,GUADALUPE,TX,,,,,,,
Wicomico County Corrections Center,411 W Naylor Mill Rd,Salisbury,Wicomico,MD,,,,,,,
Monmouth County Correctional Institution,1 Waterworks Rd,Freehold Township,Monmouth,NJ,IGSA,,COUNTY,COUNTY,$105.00 ,NDS,
Kern County Jail,1415 Truxtun Av,Bakersfield,Kern,CA,,,,,,,
Pinal County Adult Detention Center,971 Jason Lopez Cir Bldg B,Florence,Pinal,AZ,IGSA,,,COUNTY,$59.64 ,NDS,
Passaic County Jail,11 Marshall St,Paterson,Passaic,NJ,,,,,,,
Pike County Jail,175 County Blvd,Lords Valley,Pike,PA,IGSA,,,COUNTY,$82.31 ,NDS,
Lew Sterrett Justice Center,111 W Commerce St,Dallas,Dallas,TX,,,,,,,
Otero County Prison Facility,10 McGregor Range Rd,Chaparral,Otero,NM,USMS IGA,,USMS,COUNTY,$61.85 ,,
Harris County Jail,16715 Clayton Rd,Houston,Harris,TX,,,,,,,
Sacramento County Jail,651 I St,Sacramento,Sacramento,CA,IGSA,,,COUNTY,$100 ,NDS,
Perry County Correctional Center,4805 Hwy 80 East,Uniontown,Perry,AL,,,,,,,
Hampton Roads Regional Jail,2690 Elmhurst Ln,Portsmouth,Hampton ,VA,,,,,,,
